,car_id,amount,name,region,use_type,mileage
267,/tA1AEG5alfYbROl8R3tRCP5Z,"₦ 3,026,250",Toyota Camry 2008 Gray,"Lagos State, Ojodu",278077 km,278077 km
268,/sC1ffdQ4uIhPwp144GGUvERa,"₦ 4,500,000",Toyota Camry 2010 Silver,"Lagos State, Ikorodu",188487 km,188487 km
269,/G1DgVFPlzJC64UrNpMlRg6g,"₦ 6,187,500",Hyundai Tucson 2014 Silver,"Lagos State, Ikoyi",166578 km,166578 km
270,/s4I6QEtUIOPo82gYfCEWbjeL,"₦ 3,150,000",New Toyota Corolla 2009 Gold,"Lagos State, Ifako-Ijaiye",145681 km,145681 km
271,/kUNewF7GxkTKVwDviAIElPyU,"₦ 9,562,500",Mercedes-Benz M Class 2012 Gray,"Delta State, Oshimili South",532965 km,532965 km
272,/pOHmLaSyAsNCwVK3vTP4kRuT,"₦ 11,587,500",Lexus RX 350 2011 White,"Lagos State, Magodo",293033 km,293033 km
273,/4V77qeLt9yqmXhYEeLklBUIC,"₦ 1,462,500",Honda Accord 2003 Gold,"Oyo State, Ibadan",243576 km,243576 km
274,/kAFPQ5CQmwbPzBpTaCvAGD6O,"₦ 7,875,000",Toyota Venza 2010 Green,"Abuja (FCT), Garki 2",36871 km,36871 km
275,/ajQjWngzZ4rKhIjnWWc5nIWM,"₦ 4,387,500",Lexus RX 330 2004 Blue,"Ondo State, Akure",276651 km,276651 km
276,/6pymee9mOb8EO1sDQWm37Yq0,"₦ 3,675,000",Lexus RX 350 2008 Gray,"Lagos State, Ikorodu",145057 km,145057 km
277,/6pymee9mOb8EO1sDQWm37Yq0,"₦ 3,675,000",Lexus RX 350 2008 Gray,"Lagos State, Ikorodu",145057 km,145057 km
278,/6pymee9mOb8EO1sDQWm37Yq0,"₦ 3,675,000",Lexus RX 350 2008 Gray,"Lagos State, Ikorodu",145057 km,145057 km
279,/6pymee9mOb8EO1sDQWm37Yq0,"₦ 3,675,000",Lexus RX 350 2008 Gray,"Lagos State, Ikorodu",145057 km,145057 km
280,/6pymee9mOb8EO1sDQWm37Yq0,"₦ 3,675,000",Lexus RX 350 2008 Gray,"Lagos State, Ikorodu",145057 km,145057 km
281,/6pymee9mOb8EO1sDQWm37Yq0,"₦ 3,675,000",Lexus RX 350 2008 Gray,"Lagos State, Ikorodu",145057 km,145057 km
282,/6pymee9mOb8EO1sDQWm37Yq0,"₦ 3,675,000",Lexus RX 350 2008 Gray,"Lagos State, Ikorodu",145057 km,145057 km
283,/6pymee9mOb8EO1sDQWm37Yq0,"₦ 3,675,000",Lexus RX 350 2008 Gray,"Lagos State, Ikorodu",145057 km,145057 km
284,/6pymee9mOb8EO1sDQWm37Yq0,"₦ 3,675,000",Lexus RX 350 2008 Gray,"Lagos State, Ikorodu",145057 km,145057 km
285,/6pymee9mOb8EO1sDQWm37Yq0,"₦ 3,675,000",Lexus RX 350 2008 Gray,"Lagos State, Ikorodu",145057 km,145057 km
286,/6pymee9mOb8EO1sDQWm37Yq0,"₦ 3,675,000",Lexus RX 350 2008 Gray,"Lagos State, Ikorodu",145057 km,145057 km
287,/6pymee9mOb8EO1sDQWm37Yq0,"₦ 3,675,000",Lexus RX 350 2008 Gray,"Lagos State, Ikorodu",145057 km,145057 km
288,/6pymee9mOb8EO1sDQWm37Yq0,"₦ 3,675,000",Lexus RX 350 2008 Gray,"Lagos State, Ikorodu",145057 km,145057 km
